41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:26:40.1 (1047400)|USER_INFO|[EXTERNAL]|0051I000001HhoW|mark.hausknecht@atginfo.com.apexbootcamp|Pacific Standard Time|GMT-07:00
16:26:40.1 (1073817)|EXECUTION_STARTED
16:26:40.1 (1078590)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
16:26:40.1 (7532440)|METHOD_ENTRY|[1]|01p1I000008l70a|Day4CreateAccountsWIthContacts.Day4CreateAccountsWIthContacts()
16:26:40.1 (7565280)|METHOD_EXIT|[1]|Day4CreateAccountsWIthContacts
16:26:40.1 (7587807)|METHOD_ENTRY|[1]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccountsAndContacts(Integer)
16:26:40.1 (8090617)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (8462402)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (8562538)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (8728832)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (8797582)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (8949735)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9016498)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9172618)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9237742)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9390646)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9456936)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9602720)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9666843)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9809208)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (9872338)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10017075)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10082457)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10227088)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10291601)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10439865)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10504725)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10647650)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10714808)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10858133)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (10927510)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11073431)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11138128)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11281517)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11350513)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11498502)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11562613)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11703893)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11768001)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11910380)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (11977388)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12119822)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12183568)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12327286)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12398945)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12579885)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12648449)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12804170)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (12870209)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13016415)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13082608)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13226941)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13292383)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13440517)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13506899)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13647701)|METHOD_EXIT|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
16:26:40.1 (13712311)|METHOD_ENTRY|[22]|01p1I000008l70a|Day4CreateAccountsWIthContacts.createAccount(Integer)
